,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1498,Live Off My Closet (feat. Future),Lil Baby,6AyWdCtEn1DdxjnxPeojR2,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2,0.807,0.678,6,-3.244,0,0.177,0.0345,0.0,0.0986,0.21,147.004,audio_features,spotify:track:6AyWdCtEn1DdxjnxPeojR2,https://api.spotify.com/v1/tracks/6AyWdCtEn1DdxjnxPeojR2,https://api.spotify.com/v1/audio-analysis/6AyWdCtEn1DdxjnxPeojR2,173061,4
1499,Commercial (feat. Lil Uzi Vert),Lil Baby,3tDqEKKUs6gf8zMvSuLyLA,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA,0.892,0.486,11,-8.637,0,0.384,0.048,0.0,0.146,0.535,120.998,audio_features,spotify:track:3tDqEKKUs6gf8zMvSuLyLA,https://api.spotify.com/v1/tracks/3tDqEKKUs6gf8zMvSuLyLA,https://api.spotify.com/v1/audio-analysis/3tDqEKKUs6gf8zMvSuLyLA,214215,4
1500,Baby (Lil Baby feat. DaBaby),Quality Control,5MPPttjfGap2C6j6eKcO6J,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,audio_features,spotify:track:5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/tracks/5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/audio-analysis/5MPPttjfGap2C6j6eKcO6J,142417,4
1501,Emotionally Scarred,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,audio_features,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/tracks/7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/audio-analysis/7ge7BHazYbVKi8qyZUX1Bm,197530,4
1502,Myron,Lil Uzi Vert,56uXDJRCuoS7abX3SkzHKQ,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,0.771,0.654,8,-6.976,0,0.298,0.055,0.0,0.214,0.573,155.047,audio_features,spotify:track:56uXDJRCuoS7abX3SkzHKQ,https://api.spotify.com/v1/tracks/56uXDJRCuoS7abX3SkzHKQ,https://api.spotify.com/v1/audio-analysis/56uXDJRCuoS7abX3SkzHKQ,224955,4
1503,Lotus,Lil Uzi Vert,4SnlSaLJJ7reJMCHM5YUuX,https://open.spotify.com/track/4SnlSaLJJ7reJMCHM5YUuX,0.802,0.748,8,-5.708,1,0.207,0.24,0.0,0.165,0.516,150.063,audio_features,spotify:track:4SnlSaLJJ7reJMCHM5YUuX,https://api.spotify.com/v1/tracks/4SnlSaLJJ7reJMCHM5YUuX,https://api.spotify.com/v1/audio-analysis/4SnlSaLJJ7reJMCHM5YUuX,193861,4
1504,Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert,0IpnZchq8ek2A6pGEP2Qb1,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1,0.733,0.567,0,-6.718,1,0.319,0.0129,0.0,0.382,0.319,75.491,audio_features,spotify:track:0IpnZchq8ek2A6pGEP2Qb1,https://api.spotify.com/v1/tracks/0IpnZchq8ek2A6pGEP2Qb1,https://api.spotify.com/v1/audio-analysis/0IpnZchq8ek2A6pGEP2Qb1,238816,4
1505,Yessirskiii,Lil Uzi Vert,59JWp4PjZ9TRM8cmtaDYB1,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1,0.895,0.739,8,-6.633,1,0.283,0.0183,7.61e-06,0.102,0.763,140.007,audio_features,spotify:track:59JWp4PjZ9TRM8cmtaDYB1,https://api.spotify.com/v1/tracks/59JWp4PjZ9TRM8cmtaDYB1,https://api.spotify.com/v1/audio-analysis/59JWp4PjZ9TRM8cmtaDYB1,219340,4
1506,Wassup (feat. Future),Lil Uzi Vert,19Ec2gbNtQTE44IizcPjtD,https://open.spotify.com/track/19Ec2gbNtQTE44IizcPjtD,0.762,0.622,5,-6.293,0,0.223,0.352,0.0,0.145,0.626,130.019,audio_features,spotify:track:19Ec2gbNtQTE44IizcPjtD,https://api.spotify.com/v1/tracks/19Ec2gbNtQTE44IizcPjtD,https://api.spotify.com/v1/audio-analysis/19Ec2gbNtQTE44IizcPjtD,193314,4
1507,Strawberry Peels (feat. Young Thug & Gunna),Lil Uzi Vert,4lAQfuREAHG8IC0PiiigBt,https://open.spotify.com/track/4lAQfuREAHG8IC0PiiigBt,0.862,0.65,10,-6.978,0,0.355,0.0207,0.0,0.568,0.658,131.194,audio_features,spotify:track:4lAQfuREAHG8IC0PiiigBt,https://api.spotify.com/v1/tracks/4lAQfuREAHG8IC0PiiigBt,https://api.spotify.com/v1/audio-analysis/4lAQfuREAHG8IC0PiiigBt,115350,4
1508,I Can Show You,Lil Uzi Vert,0AhJag7VI8uFf3mJFsTwvf,https://open.spotify.com/track/0AhJag7VI8uFf3mJFsTwvf,0.817,0.656,10,-7.086,0,0.277,0.051,0.0,0.115,0.314,139.915,audio_features,spotify:track:0AhJag7VI8uFf3mJFsTwvf,https://api.spotify.com/v1/tracks/0AhJag7VI8uFf3mJFsTwvf,https://api.spotify.com/v1/audio-analysis/0AhJag7VI8uFf3mJFsTwvf,120076,4
1509,Moon Relate,Lil Uzi Vert,4sWGHlZGM1XA7TyWdtBAbA,https://open.spotify.com/track/4sWGHlZGM1XA7TyWdtBAbA,0.867,0.768,7,-3.73,1,0.0791,0.18,0.0,0.254,0.34,102.021,audio_features,spotify:track:4sWGHlZGM1XA7TyWdtBAbA,https://api.spotify.com/v1/tracks/4sWGHlZGM1XA7TyWdtBAbA,https://api.spotify.com/v1/audio-analysis/4sWGHlZGM1XA7TyWdtBAbA,181826,3
1510,Come This Way,Lil Uzi Vert,2BjNjFJAQTxqUPGpOnrese,https://open.spotify.com/track/2BjNjFJAQTxqUPGpOnrese,0.682,0.741,1,-4.489,1,0.249,0.127,0.0,0.239,0.619,164.043,audio_features,spotify:track:2BjNjFJAQTxqUPGpOnrese,https://api.spotify.com/v1/tracks/2BjNjFJAQTxqUPGpOnrese,https://api.spotify.com/v1/audio-analysis/2BjNjFJAQTxqUPGpOnrese,172757,4
1511,Trap This Way (This Way),Lil Uzi Vert,7vTspUAmMKFkUpKL9HLZNL,https://open.spotify.com/track/7vTspUAmMKFkUpKL9HLZNL,0.71,0.586,2,-5.331,1,0.381,0.248,0.0,0.193,0.207,175.987,audio_features,spotify:track:7vTspUAmMKFkUpKL9HLZNL,https://api.spotify.com/v1/tracks/7vTspUAmMKFkUpKL9HLZNL,https://api.spotify.com/v1/audio-analysis/7vTspUAmMKFkUpKL9HLZNL,185439,4
1512,No Auto (feat. Lil Durk),Lil Uzi Vert,5erLs80hB2TbFWgSAbVQpe,https://open.spotify.com/track/5erLs80hB2TbFWgSAbVQpe,0.713,0.681,11,-7.645,0,0.351,0.00286,0.0,0.291,0.635,159.107,audio_features,spotify:track:5erLs80hB2TbFWgSAbVQpe,https://api.spotify.com/v1/tracks/5erLs80hB2TbFWgSAbVQpe,https://api.spotify.com/v1/audio-analysis/5erLs80hB2TbFWgSAbVQpe,135065,4
1513,Money Spread (feat. Young Nudy),Lil Uzi Vert,5tBdxqz8gauIO8Hh8qwo0H,https://open.spotify.com/track/5tBdxqz8gauIO8Hh8qwo0H,0.778,0.618,1,-6.432,1,0.219,0.0234,0.0,0.298,0.212,135.879,audio_features,spotify:track:5tBdxqz8gauIO8Hh8qwo0H,https://api.spotify.com/v1/tracks/5tBdxqz8gauIO8Hh8qwo0H,https://api.spotify.com/v1/audio-analysis/5tBdxqz8gauIO8Hh8qwo0H,217008,4
1514,Got The Guap (feat. Young Thug),Lil Uzi Vert,1HF6P40Z7nfExGaB1Gk99v,https://open.spotify.com/track/1HF6P40Z7nfExGaB1Gk99v,0.837,0.601,8,-5.628,1,0.198,0.21,0.0,0.0928,0.749,142.977,audio_features,spotify:track:1HF6P40Z7nfExGaB1Gk99v,https://api.spotify.com/v1/tracks/1HF6P40Z7nfExGaB1Gk99v,https://api.spotify.com/v1/audio-analysis/1HF6P40Z7nfExGaB1Gk99v,176756,4
