,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
841,Heartland - Pure Country/Soundtrack Version,George Strait,0U4R6UqrJo43TmImPku9H8,https://open.spotify.com/track/0U4R6UqrJo43TmImPku9H8,0.449,0.89,8,-9.5,1,0.05,0.0521,7.7e-05,0.112,0.695,156.983,audio_features,spotify:track:0U4R6UqrJo43TmImPku9H8,https://api.spotify.com/v1/tracks/0U4R6UqrJo43TmImPku9H8,https://api.spotify.com/v1/audio-analysis/0U4R6UqrJo43TmImPku9H8,138160,4
842,Valerie - '68 Version,Amy Winehouse,1om5SLZiUA9DVEnjcZBBzA,https://open.spotify.com/track/1om5SLZiUA9DVEnjcZBBzA,0.665,0.827,5,-4.429,0,0.0348,0.0127,0.000762,0.0815,0.705,100.657,audio_features,spotify:track:1om5SLZiUA9DVEnjcZBBzA,https://api.spotify.com/v1/tracks/1om5SLZiUA9DVEnjcZBBzA,https://api.spotify.com/v1/audio-analysis/1om5SLZiUA9DVEnjcZBBzA,239907,4
843,All I Wanna Do Is Make Love To You,Heart,5YjKdeES9QRJ8NmF4Xc8pV,https://open.spotify.com/track/5YjKdeES9QRJ8NmF4Xc8pV,0.626,0.746,7,-8.832,1,0.0282,0.16,0.0,0.0618,0.8,102.896,audio_features,spotify:track:5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/tracks/5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/audio-analysis/5YjKdeES9QRJ8NmF4Xc8pV,310893,4
844,Every Light In The House,Trace Adkins,2A7j0RLnzvvlUFrevBiOQf,https://open.spotify.com/track/2A7j0RLnzvvlUFrevBiOQf,0.637,0.472,5,-7.295,1,0.0271,0.539,0.0,0.446,0.349,129.236,audio_features,spotify:track:2A7j0RLnzvvlUFrevBiOQf,https://api.spotify.com/v1/tracks/2A7j0RLnzvvlUFrevBiOQf,https://api.spotify.com/v1/audio-analysis/2A7j0RLnzvvlUFrevBiOQf,179600,4
845,Crazy - Single Version,Patsy Cline,3zpj9dvJABiyMrmLCPw6i8,https://open.spotify.com/track/3zpj9dvJABiyMrmLCPw6i8,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,audio_features,spotify:track:3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/tracks/3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/audio-analysis/3zpj9dvJABiyMrmLCPw6i8,164573,3
846,The Promise,Sturgill Simpson,6OV4CbPHRtbqrpJrbEFJfi,https://open.spotify.com/track/6OV4CbPHRtbqrpJrbEFJfi,0.605,0.244,11,-10.984,1,0.0256,0.406,0.00234,0.0912,0.242,79.091,audio_features,spotify:track:6OV4CbPHRtbqrpJrbEFJfi,https://api.spotify.com/v1/tracks/6OV4CbPHRtbqrpJrbEFJfi,https://api.spotify.com/v1/audio-analysis/6OV4CbPHRtbqrpJrbEFJfi,257427,4
847,"Bend Me, Shape Me",The American Breed,0xwRjvB4aMN59O1Hk86zIx,https://open.spotify.com/track/0xwRjvB4aMN59O1Hk86zIx,0.572,0.728,10,-8.159,1,0.0584,0.0336,0.0,0.397,0.398,129.011,audio_features,spotify:track:0xwRjvB4aMN59O1Hk86zIx,https://api.spotify.com/v1/tracks/0xwRjvB4aMN59O1Hk86zIx,https://api.spotify.com/v1/audio-analysis/0xwRjvB4aMN59O1Hk86zIx,133040,4
848,Lady Willpower,Gary Puckett & The Union Gap,2v32CGfALncxmdlF4JbKZ4,https://open.spotify.com/track/2v32CGfALncxmdlF4JbKZ4,0.548,0.518,2,-8.037,1,0.0288,0.506,0.0,0.435,0.617,122.811,audio_features,spotify:track:2v32CGfALncxmdlF4JbKZ4,https://api.spotify.com/v1/tracks/2v32CGfALncxmdlF4JbKZ4,https://api.spotify.com/v1/audio-analysis/2v32CGfALncxmdlF4JbKZ4,159533,4
849,Introduction/Somethin's Happening - Live,Peter Frampton,2l42CmL6hs2AZIH47vZy9U,https://open.spotify.com/track/2l42CmL6hs2AZIH47vZy9U,0.476,0.95,2,-4.838,1,0.0724,0.0175,0.000695,0.85,0.274,111.447,audio_features,spotify:track:2l42CmL6hs2AZIH47vZy9U,https://api.spotify.com/v1/tracks/2l42CmL6hs2AZIH47vZy9U,https://api.spotify.com/v1/audio-analysis/2l42CmL6hs2AZIH47vZy9U,356027,4
850,In the Afternoon,Whitney Rose,0YvKyQGVNA5Kw0AQIa15Ed,https://open.spotify.com/track/0YvKyQGVNA5Kw0AQIa15Ed,0.538,0.727,2,-2.821,1,0.0284,0.587,9.69e-05,0.282,0.563,113.326,audio_features,spotify:track:0YvKyQGVNA5Kw0AQIa15Ed,https://api.spotify.com/v1/tracks/0YvKyQGVNA5Kw0AQIa15Ed,https://api.spotify.com/v1/audio-analysis/0YvKyQGVNA5Kw0AQIa15Ed,216933,3
