,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
90,California Gurls,Katy Perry,6tS3XVuOyu10897O3ae7bi,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,audio_features,spotify:track:6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,234653,4
91,Get Ready,The Temptations,676Rf0qIOh2gKNEl9TnCOx,https://open.spotify.com/track/676Rf0qIOh2gKNEl9TnCOx,0.59,0.737,7,-5.867,1,0.0384,0.404,0.0,0.108,0.877,132.966,audio_features,spotify:track:676Rf0qIOh2gKNEl9TnCOx,https://api.spotify.com/v1/tracks/676Rf0qIOh2gKNEl9TnCOx,https://api.spotify.com/v1/audio-analysis/676Rf0qIOh2gKNEl9TnCOx,164160,4
92,Bad Boys (feat. Flo Rida),Alexandra Burke,0JYRNrTwUmeySRX37azvnH,https://open.spotify.com/track/0JYRNrTwUmeySRX37azvnH,0.67,0.866,1,-3.684,1,0.0538,0.0115,0.0,0.358,0.636,140.029,audio_features,spotify:track:0JYRNrTwUmeySRX37azvnH,https://api.spotify.com/v1/tracks/0JYRNrTwUmeySRX37azvnH,https://api.spotify.com/v1/audio-analysis/0JYRNrTwUmeySRX37azvnH,206480,4
93,God Only Knows - Mono / 1997 Remastered,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,https://open.spotify.com/track/6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,audio_features,spotify:track:6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/tracks/6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/audio-analysis/6iGU74CwXuT4XVepjc9Emf,173040,4
94,Titanium (feat. Sia),David Guetta,2dOTkLZFbpNXrhc24CnTFd,https://open.spotify.com/track/2dOTkLZFbpNXrhc24CnTFd,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,spotify:track:2dOTkLZFbpNXrhc24CnTFd,https://api.spotify.com/v1/tracks/2dOTkLZFbpNXrhc24CnTFd,https://api.spotify.com/v1/audio-analysis/2dOTkLZFbpNXrhc24CnTFd,245040,4
95,Let's Get It On,Marvin Gaye,39l1UORIhuHvUWfxG53tRZ,https://open.spotify.com/track/39l1UORIhuHvUWfxG53tRZ,0.539,0.599,3,-10.638,1,0.0483,0.0375,0.0,0.0754,0.636,167.7,audio_features,spotify:track:39l1UORIhuHvUWfxG53tRZ,https://api.spotify.com/v1/tracks/39l1UORIhuHvUWfxG53tRZ,https://api.spotify.com/v1/audio-analysis/39l1UORIhuHvUWfxG53tRZ,290933,4
96,Please Mr. Postman - Single Version / Mono,The Marvelettes,6jX5mso4x00c1EiNMrTU9U,https://open.spotify.com/track/6jX5mso4x00c1EiNMrTU9U,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,audio_features,spotify:track:6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/tracks/6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/audio-analysis/6jX5mso4x00c1EiNMrTU9U,148040,4
97,I'm Every Woman,Chaka Khan,1oFiPGBafH9Woo9AMwgBSl,https://open.spotify.com/track/1oFiPGBafH9Woo9AMwgBSl,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,audio_features,spotify:track:1oFiPGBafH9Woo9AMwgBSl,https://api.spotify.com/v1/tracks/1oFiPGBafH9Woo9AMwgBSl,https://api.spotify.com/v1/audio-analysis/1oFiPGBafH9Woo9AMwgBSl,249600,4
98,Bad Romance,Lady Gaga,0SiywuOBRcynK0uKGWdCnn,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
99,I Want You Back,The Jackson 5,5LxvwujISqiB8vpRYv887S,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4
